row_id,order_id,created_at,item_id,quantity,cust_id,delivery,address_id
55,144,2022-11-30 12:15:49,it025,7,12,1,5
56,108,2023-02-05 21:57:16,it017,4,26,0,16
57,166,2022-06-16 23:11:16,it007,10,47,1,34
58,110,2022-12-08 17:51:35,it019,5,1,0,6
59,158,2022-03-21 07:02:51,it015,9,31,0,43
60,160,2023-01-23 10:38:43,it015,7,1,1,1
61,115,2022-04-13 18:26:36,it004,8,19,1,39
62,178,2022-04-08 16:34:41,it020,3,8,0,34
63,103,2023-03-14 14:23:35,it032,8,21,1,28
64,140,2022-08-30 15:01:16,it010,7,17,1,12
65,100,2022-11-17 04:32:49,it033,2,34,0,44
66,151,2022-11-09 00:19:41,it018,1,4,1,43
67,162,2022-10-26 09:35:19,it033,3,7,1,37
68,135,2022-10-01 20:48:38,it026,5,39,1,39
69,188,2022-11-24 23:37:51,it010,8,14,0,41
70,136,2022-03-18 01:31:45,it028,7,4,0,45
71,127,2022-10-23 08:24:43,it003,9,3,0,38
72,191,2022-11-01 05:59:27,it009,6,16,0,38
73,191,2022-04-30 16:59:49,it015,7,1,0,36
74,107,2022-12-14 09:46:46,it033,9,1,1,2
75,151,2022-11-29 03:54:24,it029,7,37,0,43
76,182,2022-04-28 19:23:08,it028,6,24,0,35
77,136,2022-10-17 12:26:56,it004,7,34,0,23
78,190,2022-12-22 14:34:15,it028,10,39,0,8
79,168,2022-03-09 23:46:10,it026,6,12,1,2
80,187,2022-07-16 22:33:42,it014,1,11,1,14
81,199,2023-01-07 00:23:06,it020,9,38,1,26
82,145,2022-11-20 17:11:56,it033,1,9,1,25
83,199,2022-12-04 04:57:12,it023,10,30,1,35
84,103,2022-12-21 08:24:54,it028,9,15,0,17
85,196,2022-11-14 01:00:32,it029,2,1,0,6
86,162,2022-10-11 16:27:56,it027,2,27,0,42
87,186,2022-11-29 09:56:02,it029,2,25,1,15
88,111,2022-04-27 08:43:18,it027,4,41,1,12
89,155,2022-08-25 16:33:58,it028,5,42,1,25
90,192,2022-09-15 03:32:28,it005,5,35,0,49
91,140,2022-04-24 15:32:50,it031,7,47,0,37
92,143,2022-04-26 03:56:11,it031,2,3,0,21
93,171,2022-06-05 14:56:54,it006,4,41,0,19
94,130,2022-10-09 00:07:49,it005,7,37,0,5
95,157,2022-11-23 19:49:23,it020,8,23,1,44
96,146,2022-12-06 14:10:03,it024,2,30,1,20
97,140,2022-05-02 06:12:39,it033,2,39,0,31
98,138,2022-10-17 16:24:29,it029,8,34,1,15
99,165,2022-12-30 23:52:38,it011,5,4,1,34
100,200,2023-02-09 13:46:59,it023,9,26,0,23
101,176,2022-04-03 13:47:24,it025,9,9,0,32
102,150,2022-05-04 15:08:01,it021,2,19,1,11
103,131,2023-03-03 14:35:23,it005,7,35,1,10
104,182,2023-01-26 19:27:53,it003,10,37,1,39
105,196,2022-05-18 10:17:24,it026,4,38,0,41
106,144,2022-11-14 10:18:09,it030,5,43,1,30
107,131,2022-04-18 06:20:53,it020,10,19,0,12
108,150,2022-03-29 00:02:56,it021,5,18,1,14
109,111,2022-03-06 06:13:11,it015,4,35,1,22
110,162,2022-08-24 20:56:49,it010,4,39,0,28
111,187,2022-08-01 09:00:47,it025,6,34,1,13
112,129,2022-12-27 13:32:14,it019,8,23,0,18
113,144,2022-07-31 23:17:01,it001,9,29,0,33
114,158,2022-10-10 20:10:24,it003,4,2,0,40
115,194,2022-11-29 04:53:43,it007,8,36,1,8
116,144,2022-11-15 11:34:20,it030,1,2,1,47
117,176,2022-12-01 07:33:58,it011,1,26,1,29
118,116,2022-12-09 11:52:14,it011,8,16,1,30
119,174,2023-01-15 12:04:14,it018,2,30,1,8
120,182,2022-05-24 07:35:06,it005,6,31,1,9
121,177,2022-07-07 23:49:50,it019,7,3,0,36
122,151,2022-09-23 10:44:45,it009,1,48,1,39
123,158,2022-10-11 17:58:38,it029,3,21,1,17
124,198,2022-09-23 03:00:26,it018,7,41,0,2
125,190,2022-10-23 05:59:01,it003,8,32,1,22
126,123,2022-03-25 15:03:02,it007,5,25,0,16
127,168,2022-09-11 11:14:12,it016,7,31,0,42
128,104,2022-07-07 23:12:19,it029,7,43,1,42
129,148,2022-09-27 20:59:23,it008,9,43,1,7
130,101,2022-12-14 22:54:18,it027,2,6,0,40
131,163,2022-11-13 02:22:07,it001,5,34,0,38
132,105,2022-11-04 06:44:42,it002,2,26,1,13
133,157,2022-07-07 03:18:55,it014,5,46,0,11
134,131,2022-07-13 03:45:30,it004,7,39,1,36
135,138,2022-09-23 16:17:14,it033,10,33,0,27
136,121,2022-08-14 00:54:39,it011,8,1,0,47
137,135,2023-01-13 07:34:20,it031,9,9,0,48
138,102,2022-10-03 03:50:55,it011,1,8,0,41
139,118,2022-04-29 11:24:25,it009,3,9,1,39
140,153,2022-04-13 12:23:47,it018,6,4,1,49
141,121,2022-08-04 10:37:58,it010,1,7,1,37
142,137,2022-10-30 01:45:20,it023,3,19,1,16
143,179,2022-07-04 05:59:28,it012,4,20,0,9
144,130,2022-08-09 19:14:37,it009,5,26,1,25
145,176,2022-10-03 08:19:38,it032,4,39,1,5
146,166,2022-03-05 17:04:35,it026,10,9,0,34
147,109,2022-12-07 16:50:19,it003,6,33,0,50
148,159,2023-03-08 08:18:51,it018,9,26,0,43
149,137,2022-03-20 08:20:08,it014,7,20,0,21
150,157,2022-08-29 10:53:31,it022,7,24,0,19
151,124,2022-05-30 11:47:52,it001,4,38,1,46
152,189,2022-07-14 06:36:22,it011,7,31,0,17
153,127,2022-10-07 14:52:40,it022,5,1,0,17
154,143,2023-02-16 03:53:17,it028,4,45,0,21
155,169,2022-12-24 01:52:03,it002,7,41,1,47
156,138,2022-12-17 09:06:32,it031,7,29,0,38
157,100,2022-10-24 15:09:32,it006,5,5,0,26
158,187,2023-02-18 10:50:37,it023,10,36,1,36
159,139,2022-11-27 12:05:40,it028,2,1,0,1
160,100,2022-05-27 19:09:26,it018,8,18,0,6
161,159,2022-06-02 22:05:04,it008,10,10,1,39
162,145,2022-03-31 13:19:36,it005,6,21,0,44
163,187,2022-07-27 02:20:15,it028,3,13,1,47
164,105,2022-07-28 08:30:57,it029,3,45,1,48
165,178,2022-04-22 07:01:32,it004,2,38,0,6
166,156,2022-03-18 05:09:59,it027,7,45,0,24
167,173,2023-02-04 23:43:36,it003,8,21,1,34
168,159,2023-01-15 15:02:40,it010,7,5,0,40
169,195,2022-12-06 10:02:11,it027,6,36,1,13
170,148,2022-04-19 11:43:09,it015,7,45,0,44
171,175,2022-03-15 09:51:24,it009,6,48,1,44
172,104,2022-04-12 19:25:47,it004,4,8,1,43
173,116,2022-09-06 13:52:12,it022,10,12,1,23
174,162,2022-05-16 03:46:20,it023,6,39,1,2
175,154,2022-10-21 01:59:58,it015,10,37,1,9
176,122,2022-06-19 16:46:26,it008,8,4,1,4
177,146,2022-07-28 01:16:25,it022,10,3,0,26
178,179,2023-03-14 18:08:20,it009,4,29,1,28
179,148,2022-06-03 03:46:12,it006,10,29,0,45
180,143,2022-12-12 20:16:49,it022,9,5,1,26
181,157,2022-06-26 19:02:24,it020,9,34,1,32
182,131,2022-10-12 13:15:15,it031,10,13,0,7
183,121,2022-09-11 19:17:35,it018,7,3,0,37
184,169,2022-10-25 11:53:04,it025,8,23,0,41
185,153,2023-03-13 09:42:55,it029,2,2,0,43
186,179,2022-04-28 14:25:30,it031,3,26,0,17
187,169,2022-10-31 04:38:27,it001,10,34,0,10
188,155,2022-06-28 08:30:53,it021,4,47,0,26
189,188,2022-05-19 20:57:52,it033,3,49,0,32
190,129,2022-12-05 06:18:26,it002,5,4,1,45
191,158,2022-07-06 16:28:02,it011,7,48,1,22
192,166,2022-09-08 05:49:05,it021,7,42,0,4
193,104,2022-03-17 20:10:18,it002,6,10,0,44
194,173,2022-08-21 02:56:14,it006,5,7,1,26
195,194,2022-03-20 06:06:51,it006,1,7,0,45
196,129,2022-05-28 18:11:40,it019,4,11,0,26
197,130,2022-08-12 04:56:22,it021,7,21,1,15
198,190,2023-01-06 16:09:44,it005,6,49,0,40
199,108,2022-04-26 20:03:37,it025,4,23,0,18
200,131,2022-03-20 21:15:42,it007,6,20,0,18
201,114,2022-08-22 20:03:38,it021,4,7,1,25
202,122,2023-03-02 13:51:47,it021,4,48,0,2
203,195,2022-03-01 22:59:11,it002,4,26,1,31
204,156,2022-04-26 02:41:04,it009,10,28,1,25
205,200,2022-12-21 07:08:49,it024,4,39,1,45
206,195,2022-05-25 17:07:15,it015,8,46,1,38
207,187,2022-06-11 21:17:27,it030,8,21,0,18
208,112,2022-10-01 07:58:27,it021,8,16,1,25
209,159,2022-11-17 07:08:27,it001,9,3,1,30
210,102,2022-03-12 11:52:54,it002,7,3,1,31
211,171,2022-05-06 20:02:11,it024,3,40,1,44
212,166,2022-08-04 11:51:49,it003,8,26,1,16
213,107,2022-10-23 20:28:21,it017,4,5,0,23
214,178,2022-10-13 04:57:53,it025,9,2,0,17
215,174,2022-03-24 23:29:18,it003,9,48,1,32
216,185,2022-08-03 19:06:08,it012,10,41,1,45
217,145,2022-10-31 13:08:37,it006,9,17,1,32
218,186,2022-09-24 14:58:28,it029,1,26,0,33
219,119,2023-03-04 12:05:43,it004,5,6,0,31
220,199,2022-06-13 03:08:40,it002,1,19,1,25
221,140,2022-06-07 01:53:24,it006,2,9,0,44
222,194,2022-03-13 20:24:51,it033,9,15,1,50
223,114,2022-12-02 11:47:01,it020,2,33,1,42
224,147,2023-01-10 22:40:48,it013,3,21,0,32
225,161,2022-03-21 11:51:20,it020,7,49,0,49
226,104,2022-06-14 19:14:58,it010,10,45,1,6
227,143,2022-05-05 05:54:57,it003,6,4,1,34
228,191,2022-09-05 19:03:32,it018,1,1,1,9
229,110,2022-12-07 13:32:50,it010,1,39,0,14
230,157,2023-01-16 13:48:01,it013,2,38,0,41
231,155,2022-07-04 09:43:10,it003,7,46,0,36
232,166,2022-06-05 21:57:33,it005,5,36,1,20
233,176,2023-01-16 04:41:03,it015,9,21,0,50
234,174,2022-12-27 00:19:33,it033,2,8,1,23
235,191,2022-12-08 21:55:23,it008,5,5,0,4
236,181,2023-02-10 04:09:00,it033,9,43,0,36
237,130,2023-03-10 12:43:35,it014,8,42,1,20
238,101,2022-10-26 09:44:15,it022,3,32,1,38
239,181,2022-03-06 23:02:13,it030,10,33,0,19
240,113,2022-06-02 17:20:39,it016,3,2,1,27
241,177,2022-10-30 09:38:13,it019,6,21,1,29
242,191,2022-09-04 08:17:35,it009,2,27,1,24
243,158,2023-02-26 09:47:38,it014,6,47,1,40
244,159,2023-01-31 15:13:38,it018,9,47,1,41
245,142,2022-04-07 09:59:02,it007,10,19,0,12
246,107,2022-05-20 02:11:51,it033,10,48,0,41
247,171,2022-12-18 11:52:36,it024,1,36,0,27
248,153,2022-07-29 09:09:23,it011,7,25,0,31
249,183,2022-07-03 21:47:46,it018,6,9,0,36
250,148,2022-12-03 03:28:38,it018,5,12,0,26
